column,type,description,unit,range,missing_value_policy
delta_mfcc12_std,float,Delta MFCC coefficient 12 std deviation,-,>=0,0
delta_mfcc13_mean,float,Delta MFCC coefficient 13 mean,-,real,0
delta_mfcc13_std,float,Delta MFCC coefficient 13 std deviation,-,>=0,0
delta2_mfcc1_mean,float,Delta-delta MFCC coefficient 1 mean,-,real,0
delta2_mfcc1_std,float,Delta-delta MFCC coefficient 1 std deviation,-,>=0,0
delta2_mfcc2_mean,float,Delta-delta MFCC coefficient 2 mean,-,real,0
delta2_mfcc2_std,float,Delta-delta MFCC coefficient 2 std deviation,-,>=0,0
delta2_mfcc3_mean,float,Delta-delta MFCC coefficient 3 mean,-,real,0
delta2_mfcc3_std,float,Delta-delta MFCC coefficient 3 std deviation,-,>=0,0
delta2_mfcc4_mean,float,Delta-delta MFCC coefficient 4 mean,-,real,0
delta2_mfcc4_std,float,Delta-delta MFCC coefficient 4 std deviation,-,>=0,0
delta2_mfcc5_mean,float,Delta-delta MFCC coefficient 5 mean,-,real,0
delta2_mfcc5_std,float,Delta-delta MFCC coefficient 5 std deviation,-,>=0,0
delta2_mfcc6_mean,float,Delta-delta MFCC coefficient 6 mean,-,real,0
delta2_mfcc6_std,float,Delta-delta MFCC coefficient 6 std deviation,-,>=0,0
delta2_mfcc7_mean,float,Delta-delta MFCC coefficient 7 mean,-,real,0
delta2_mfcc7_std,float,Delta-delta MFCC coefficient 7 std deviation,-,>=0,0
delta2_mfcc8_mean,float,Delta-delta MFCC coefficient 8 mean,-,real,0
delta2_mfcc8_std,float,Delta-delta MFCC coefficient 8 std deviation,-,>=0,0
delta2_mfcc9_mean,float,Delta-delta MFCC coefficient 9 mean,-,real,0
delta2_mfcc9_std,float,Delta-delta MFCC coefficient 9 std deviation,-,>=0,0
delta2_mfcc10_mean,float,Delta-delta MFCC coefficient 10 mean,-,real,0
delta2_mfcc10_std,float,Delta-delta MFCC coefficient 10 std deviation,-,>=0,0
delta2_mfcc11_mean,float,Delta-delta MFCC coefficient 11 mean,-,real,0
delta2_mfcc11_std,float,Delta-delta MFCC coefficient 11 std deviation,-,>=0,0
delta2_mfcc12_mean,float,Delta-delta MFCC coefficient 12 mean,-,real,0
delta2_mfcc12_std,float,Delta-delta MFCC coefficient 12 std deviation,-,>=0,0
delta2_mfcc13_mean,float,Delta-delta MFCC coefficient 13 mean,-,real,0
delta2_mfcc13_std,float,Delta-delta MFCC coefficient 13 std deviation,-,>=0,0
