column,type,description,unit,range,missing_value_policy
Landmark_49_X,float,Face/Iris landmark 49 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_49_Y,float,Face/Iris landmark 49 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_49_Z,float,"Face/Iris landmark 49 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_50_X,float,Face/Iris landmark 50 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_50_Y,float,Face/Iris landmark 50 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_50_Z,float,"Face/Iris landmark 50 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_51_X,float,Face/Iris landmark 51 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_51_Y,float,Face/Iris landmark 51 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_51_Z,float,"Face/Iris landmark 51 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_52_X,float,Face/Iris landmark 52 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_52_Y,float,Face/Iris landmark 52 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_52_Z,float,"Face/Iris landmark 52 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_53_X,float,Face/Iris landmark 53 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_53_Y,float,Face/Iris landmark 53 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_53_Z,float,"Face/Iris landmark 53 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_54_X,float,Face/Iris landmark 54 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_54_Y,float,Face/Iris landmark 54 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_54_Z,float,"Face/Iris landmark 54 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_55_X,float,Face/Iris landmark 55 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_55_Y,float,Face/Iris landmark 55 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_55_Z,float,"Face/Iris landmark 55 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_56_X,float,Face/Iris landmark 56 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_56_Y,float,Face/Iris landmark 56 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_56_Z,float,"Face/Iris landmark 56 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_57_X,float,Face/Iris landmark 57 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_57_Y,float,Face/Iris landmark 57 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_57_Z,float,"Face/Iris landmark 57 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_58_X,float,Face/Iris landmark 58 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_58_Y,float,Face/Iris landmark 58 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_58_Z,float,"Face/Iris landmark 58 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_59_X,float,Face/Iris landmark 59 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_59_Y,float,Face/Iris landmark 59 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_59_Z,float,"Face/Iris landmark 59 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_60_X,float,Face/Iris landmark 60 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_60_Y,float,Face/Iris landmark 60 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_60_Z,float,"Face/Iris landmark 60 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_61_X,float,Face/Iris landmark 61 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_61_Y,float,Face/Iris landmark 61 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_61_Z,float,"Face/Iris landmark 61 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_62_X,float,Face/Iris landmark 62 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_62_Y,float,Face/Iris landmark 62 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_62_Z,float,"Face/Iris landmark 62 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_63_X,float,Face/Iris landmark 63 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_63_Y,float,Face/Iris landmark 63 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_63_Z,float,"Face/Iris landmark 63 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_64_X,float,Face/Iris landmark 64 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_64_Y,float,Face/Iris landmark 64 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_64_Z,float,"Face/Iris landmark 64 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_65_X,float,Face/Iris landmark 65 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_65_Y,float,Face/Iris landmark 65 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_65_Z,float,"Face/Iris landmark 65 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_66_X,float,Face/Iris landmark 66 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_66_Y,float,Face/Iris landmark 66 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_66_Z,float,"Face/Iris landmark 66 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_67_X,float,Face/Iris landmark 67 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_67_Y,float,Face/Iris landmark 67 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_67_Z,float,"Face/Iris landmark 67 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_68_X,float,Face/Iris landmark 68 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_68_Y,float,Face/Iris landmark 68 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_68_Z,float,"Face/Iris landmark 68 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_69_X,float,Face/Iris landmark 69 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_69_Y,float,Face/Iris landmark 69 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_69_Z,float,"Face/Iris landmark 69 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_70_X,float,Face/Iris landmark 70 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_70_Y,float,Face/Iris landmark 70 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_70_Z,float,"Face/Iris landmark 70 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_71_X,float,Face/Iris landmark 71 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_71_Y,float,Face/Iris landmark 71 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_71_Z,float,"Face/Iris landmark 71 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_72_X,float,Face/Iris landmark 72 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_72_Y,float,Face/Iris landmark 72 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_72_Z,float,"Face/Iris landmark 72 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_73_X,float,Face/Iris landmark 73 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_73_Y,float,Face/Iris landmark 73 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_73_Z,float,"Face/Iris landmark 73 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_74_X,float,Face/Iris landmark 74 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_74_Y,float,Face/Iris landmark 74 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_74_Z,float,"Face/Iris landmark 74 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_75_X,float,Face/Iris landmark 75 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_75_Y,float,Face/Iris landmark 75 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_75_Z,float,"Face/Iris landmark 75 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_76_X,float,Face/Iris landmark 76 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_76_Y,float,Face/Iris landmark 76 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_76_Z,float,"Face/Iris landmark 76 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_77_X,float,Face/Iris landmark 77 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_77_Y,float,Face/Iris landmark 77 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_77_Z,float,"Face/Iris landmark 77 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_78_X,float,Face/Iris landmark 78 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_78_Y,float,Face/Iris landmark 78 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_78_Z,float,"Face/Iris landmark 78 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_79_X,float,Face/Iris landmark 79 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_79_Y,float,Face/Iris landmark 79 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_79_Z,float,"Face/Iris landmark 79 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_80_X,float,Face/Iris landmark 80 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_80_Y,float,Face/Iris landmark 80 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_80_Z,float,"Face/Iris landmark 80 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_81_X,float,Face/Iris landmark 81 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_81_Y,float,Face/Iris landmark 81 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_81_Z,float,"Face/Iris landmark 81 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_82_X,float,Face/Iris landmark 82 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_82_Y,float,Face/Iris landmark 82 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_82_Z,float,"Face/Iris landmark 82 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_83_X,float,Face/Iris landmark 83 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_83_Y,float,Face/Iris landmark 83 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_83_Z,float,"Face/Iris landmark 83 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_84_X,float,Face/Iris landmark 84 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_84_Y,float,Face/Iris landmark 84 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_84_Z,float,"Face/Iris landmark 84 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_85_X,float,Face/Iris landmark 85 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_85_Y,float,Face/Iris landmark 85 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_85_Z,float,"Face/Iris landmark 85 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_86_X,float,Face/Iris landmark 86 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_86_Y,float,Face/Iris landmark 86 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_86_Z,float,"Face/Iris landmark 86 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_87_X,float,Face/Iris landmark 87 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_87_Y,float,Face/Iris landmark 87 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_87_Z,float,"Face/Iris landmark 87 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_88_X,float,Face/Iris landmark 88 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_88_Y,float,Face/Iris landmark 88 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_88_Z,float,"Face/Iris landmark 88 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_89_X,float,Face/Iris landmark 89 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_89_Y,float,Face/Iris landmark 89 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_89_Z,float,"Face/Iris landmark 89 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_90_X,float,Face/Iris landmark 90 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_90_Y,float,Face/Iris landmark 90 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_90_Z,float,"Face/Iris landmark 90 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_91_X,float,Face/Iris landmark 91 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_91_Y,float,Face/Iris landmark 91 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_91_Z,float,"Face/Iris landmark 91 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_92_X,float,Face/Iris landmark 92 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_92_Y,float,Face/Iris landmark 92 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_92_Z,float,"Face/Iris landmark 92 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_93_X,float,Face/Iris landmark 93 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_93_Y,float,Face/Iris landmark 93 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_93_Z,float,"Face/Iris landmark 93 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_94_X,float,Face/Iris landmark 94 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_94_Y,float,Face/Iris landmark 94 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_94_Z,float,"Face/Iris landmark 94 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_95_X,float,Face/Iris landmark 95 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_95_Y,float,Face/Iris landmark 95 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_95_Z,float,"Face/Iris landmark 95 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_96_X,float,Face/Iris landmark 96 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_96_Y,float,Face/Iris landmark 96 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_96_Z,float,"Face/Iris landmark 96 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_97_X,float,Face/Iris landmark 97 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_97_Y,float,Face/Iris landmark 97 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_97_Z,float,"Face/Iris landmark 97 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_98_X,float,Face/Iris landmark 98 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_98_Y,float,Face/Iris landmark 98 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_98_Z,float,"Face/Iris landmark 98 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_99_X,float,Face/Iris landmark 99 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_99_Y,float,Face/Iris landmark 99 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_99_Z,float,"Face/Iris landmark 99 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_100_X,float,Face/Iris landmark 100 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_100_Y,float,Face/Iris landmark 100 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_100_Z,float,"Face/Iris landmark 100 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_101_X,float,Face/Iris landmark 101 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_101_Y,float,Face/Iris landmark 101 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_101_Z,float,"Face/Iris landmark 101 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_102_X,float,Face/Iris landmark 102 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_102_Y,float,Face/Iris landmark 102 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_102_Z,float,"Face/Iris landmark 102 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_103_X,float,Face/Iris landmark 103 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_103_Y,float,Face/Iris landmark 103 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_103_Z,float,"Face/Iris landmark 103 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_104_X,float,Face/Iris landmark 104 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_104_Y,float,Face/Iris landmark 104 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_104_Z,float,"Face/Iris landmark 104 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_105_X,float,Face/Iris landmark 105 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_105_Y,float,Face/Iris landmark 105 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_105_Z,float,"Face/Iris landmark 105 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_106_X,float,Face/Iris landmark 106 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_106_Y,float,Face/Iris landmark 106 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_106_Z,float,"Face/Iris landmark 106 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_107_X,float,Face/Iris landmark 107 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_107_Y,float,Face/Iris landmark 107 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_107_Z,float,"Face/Iris landmark 107 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_108_X,float,Face/Iris landmark 108 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_108_Y,float,Face/Iris landmark 108 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_108_Z,float,"Face/Iris landmark 108 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_109_X,float,Face/Iris landmark 109 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_109_Y,float,Face/Iris landmark 109 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_109_Z,float,"Face/Iris landmark 109 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_110_X,float,Face/Iris landmark 110 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_110_Y,float,Face/Iris landmark 110 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_110_Z,float,"Face/Iris landmark 110 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_111_X,float,Face/Iris landmark 111 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_111_Y,float,Face/Iris landmark 111 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_111_Z,float,"Face/Iris landmark 111 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_112_X,float,Face/Iris landmark 112 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_112_Y,float,Face/Iris landmark 112 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_112_Z,float,"Face/Iris landmark 112 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_113_X,float,Face/Iris landmark 113 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_113_Y,float,Face/Iris landmark 113 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_113_Z,float,"Face/Iris landmark 113 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_114_X,float,Face/Iris landmark 114 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_114_Y,float,Face/Iris landmark 114 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_114_Z,float,"Face/Iris landmark 114 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_115_X,float,Face/Iris landmark 115 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_115_Y,float,Face/Iris landmark 115 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_115_Z,float,"Face/Iris landmark 115 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_116_X,float,Face/Iris landmark 116 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_116_Y,float,Face/Iris landmark 116 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_116_Z,float,"Face/Iris landmark 116 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_117_X,float,Face/Iris landmark 117 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_117_Y,float,Face/Iris landmark 117 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_117_Z,float,"Face/Iris landmark 117 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_118_X,float,Face/Iris landmark 118 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_118_Y,float,Face/Iris landmark 118 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_118_Z,float,"Face/Iris landmark 118 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_119_X,float,Face/Iris landmark 119 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_119_Y,float,Face/Iris landmark 119 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_119_Z,float,"Face/Iris landmark 119 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_120_X,float,Face/Iris landmark 120 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_120_Y,float,Face/Iris landmark 120 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_120_Z,float,"Face/Iris landmark 120 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_121_X,float,Face/Iris landmark 121 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_121_Y,float,Face/Iris landmark 121 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_121_Z,float,"Face/Iris landmark 121 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_122_X,float,Face/Iris landmark 122 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_122_Y,float,Face/Iris landmark 122 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_122_Z,float,"Face/Iris landmark 122 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_123_X,float,Face/Iris landmark 123 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_123_Y,float,Face/Iris landmark 123 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_123_Z,float,"Face/Iris landmark 123 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_124_X,float,Face/Iris landmark 124 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_124_Y,float,Face/Iris landmark 124 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_124_Z,float,"Face/Iris landmark 124 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_125_X,float,Face/Iris landmark 125 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_125_Y,float,Face/Iris landmark 125 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_125_Z,float,"Face/Iris landmark 125 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_126_X,float,Face/Iris landmark 126 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_126_Y,float,Face/Iris landmark 126 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_126_Z,float,"Face/Iris landmark 126 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_127_X,float,Face/Iris landmark 127 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_127_Y,float,Face/Iris landmark 127 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_127_Z,float,"Face/Iris landmark 127 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_128_X,float,Face/Iris landmark 128 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_128_Y,float,Face/Iris landmark 128 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_128_Z,float,"Face/Iris landmark 128 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_129_X,float,Face/Iris landmark 129 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_129_Y,float,Face/Iris landmark 129 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_129_Z,float,"Face/Iris landmark 129 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
